,scrape_id,phrase,score,score_sum,tf,occurances,idf,tfidf,scrape_keyword
0,244509,npl,927.0,133543.41666666628,0.006941562700270407,1,2.3978952727983707,0.0166451403848119,npl
1,244509,loan,240.0,133543.41666666628,0.0017971683366395875,1,2.3978952727983707,0.004309421458850978,npl
2,244509,npl construction,177.5,133543.41666666628,0.0013291557489730282,1,2.3978952727983707,0.0031871762872752022,npl
3,244509,nonperforming,136.0,133543.41666666628,0.001018395390762433,1,2.3978952727983707,0.0024420054933488875,npl
4,244509,the npl,135.0,133543.41666666628,0.001010907189359768,1,2.3978952727983707,0.002424049570603675,npl
5,244509,construction,313.0,133543.41666666628,0.0023438070390341286,4,1.0116009116784799,0.002370997337485363,npl
6,244509,loans,125.0,133543.41666666628,0.0009360251753331185,1,2.3978952727983707,0.002244490343151551,npl
7,244509,league,209.0,133543.41666666628,0.0015650340931569742,3,1.2992829841302609,0.00203342216682259,npl
8,244509,centuri,80.0,133543.41666666628,0.0005990561122131958,1,2.3978952727983707,0.0014364738196169925,npl
9,244509,puzzlers,74.0,133543.41666666628,0.0005541269037972062,1,2.3978952727983707,0.0013287382831457181,npl
10,244510,zamków,845.0,266200.4166666631,0.0031743000652704138,1,2.3978952727983707,0.007611639120955484,ślusarz warszawa
11,244510,otwieranie,691.0,266200.4166666631,0.002595788574085037,1,2.3978952727983707,0.006224429150982533,ślusarz warszawa
12,244510,pogotowie,598.0,266200.4166666631,0.0022464277384990623,1,2.3978952727983707,0.005386698454830036,ślusarz warszawa
13,244510,warszawa,1385.0,266200.4166666631,0.005202846852543815,4,1.0116009116784799,0.005263204619356833,ślusarz warszawa
14,244510,ślusarz,798.0,266200.4166666631,0.0029977413634151365,2,1.7047480922384253,0.0051103938703061695,ślusarz warszawa
15,244510,zamkowe,506.0,266200.4166666631,0.001900823471037668,1,2.3978952727983707,0.004557975615625415,ślusarz warszawa
16,244510,awaryjne,498.0,266200.4166666631,0.001870770926041025,1,2.3978952727983707,0.004485912760042404,ślusarz warszawa
17,244510,awaryjne otwieranie,494.0,266200.4166666631,0.0018557446535427036,1,2.3978952727983707,0.004449881332250899,ślusarz warszawa
18,244510,pogotowie zamkowe,493.0,266200.4166666631,0.0018519880854181233,1,2.3978952727983707,0.004440873475303023,ślusarz warszawa
19,244510,na,1164.0,266200.4166666631,0.004372645297011552,5,0.7884573603642703,0.003447644368690969,ślusarz warszawa
20,244524,zł,10018.0,862741.6666666552,0.011611818910643548,3,1.2992829841302609,0.015087038725401144,kosmetyczka
21,244524,kosmetyczka,6247.0,862741.6666666552,0.007240869708004616,2,1.7047480922384253,0.012343858820867873,kosmetyczka
22,244524,00 zł,3869.0,862741.6666666552,0.004484540563513664,2,1.7047480922384253,0.007645011970215752,kosmetyczka
23,244524,99 zł,2657.0,862741.6666666552,0.0030797167943282,2,1.7047480922384253,0.005250141329765638,kosmetyczka
24,244524,do koszyka,1796.0,862741.6666666552,0.002081735552357338,1,2.3978952727983707,0.004991783840213967,kosmetyczka
25,244524,koszyka,1796.0,862741.6666666552,0.002081735552357338,1,2.3978952727983707,0.004991783840213967,kosmetyczka
26,244524,dodaj do,1624.0,862741.6666666552,0.0018823711230669918,1,2.3978952727983707,0.0045137288176544995,kosmetyczka
27,244524,dodaj do koszyka,1360.0,862741.6666666552,0.0015763699060166927,1,2.3978952727983707,0.003779969945819039,kosmetyczka
28,244524,zł dodaj,1320.5,862741.6666666552,0.0015305856330110608,1,2.3978952727983707,0.0036701840540103244,kosmetyczka
29,244524,99,3772.0,862741.6666666552,0.004372108298158062,5,0.7884573603642703,0.0034472209679924275,kosmetyczka
30,244525,puławy,2881.0,483613.0833333315,0.005957241644792856,1,2.3978952727983707,0.01428484157896638,kosmetyczka puławy
31,244525,kosmetyczka,1141.0,483613.0833333315,0.0023593240946576353,2,1.7047480922384253,0.004022053249339754,kosmetyczka puławy
32,244525,24 100,680.0,483613.0833333315,0.0014060827207424997,1,2.3978952727983707,0.0033716391092319113,kosmetyczka puławy
33,244525,salon kosmetyczny,646.0,483613.0833333315,0.0013357785847053748,1,2.3978952727983707,0.003203057153770316,kosmetyczka puławy
34,244525,salon,1152.0,483613.0833333315,0.0023820695504343523,3,1.2992829841302609,0.003094982433894174,kosmetyczka puławy
35,244525,gabinet,554.0,483613.0833333315,0.0011455438636637425,1,2.3978952727983707,0.002746894215462469,kosmetyczka puławy
36,244525,kosmetyczny,973.0,483613.0833333315,0.002011938951885959,3,1.2992829841302609,0.002614078045294298,kosmetyczka puławy
37,244525,100 puławy,497.5,483613.0833333315,0.0010287149317196964,1,2.3978952727983707,0.0024667506718277585,kosmetyczka puławy
38,244525,na,1509.0,483613.0833333315,0.003120262978824165,5,0.7884573603642703,0.002460194311926056,kosmetyczka puławy
39,244525,24 100 puławy,487.66666666666663,483613.0833333315,0.0010083818727677828,1,2.3978952727983707,0.0024179941258854346,kosmetyczka puławy
40,244553,your content,789.5,368779.9999999989,0.002140842778892571,4,1.0116009116784799,0.0021656785068880154,content marketing planner
41,244553,content marketing,913.0,368779.9999999989,0.002475730788003695,5,0.7884573603642703,0.0019520081620819482,content marketing planner
42,244553,strategy,507.0,368779.9999999989,0.001374803405824615,4,1.0116009116784799,0.0013907523787108596,content marketing planner
43,244553,the diy,207.0,368779.9999999989,0.0005613102662834227,1,2.3978952727983707,0.001345963234094214,content marketing planner
44,244553,diy tool,198.0,368779.9999999989,0.0005369054720971869,1,2.3978952727983707,0.0012874430934814221,content marketing planner
